-0.015718,
0.0053335,
0.016706,
0.023708,
0.015445,
-0.0099389,
-0.039587,
-0.049783,
-0.019178,
0.055917,
0.15453,
0.23849,
0.27144,
0.23849,
0.15453,
0.055917,
-0.019178,
-0.049783,
-0.039587,
-0.0099389,
0.015445,
0.023708,
0.016706,
0.0053335,
-0.015718
