-4.6155,
-4.5769,
-4.5383,
-4.4998,
-4.4615,
-4.4234,
-4.3855,
-4.3477,
-4.3101,
-4.2726,
-4.2353,
-4.198,
-4.1608,
-4.1237,
-4.0865,
-4.0494,
-4.0123,
-3.9752,
-3.9399,
-3.9065,
-3.873,
-3.8396,
-3.7952,
-3.7567,
-3.7352,
-3.7019,
-3.6569,
-3.6222,
-3.5778,
-3.5329,
-3.4991,
-3.4571,
-3.4234,
-3.4004,
-3.3706,
-3.3302,
-3.2919,
-3.2548,
-3.217,
-3.1789,
-3.1424,
-3.1131,
-3.0802,
-3.0367,
-2.9914,
-2.9517,
-2.9212,
-2.8962,
-2.8685,
-2.8264,
-2.7809,
-2.7417,
-2.7014,
-2.6658,
-2.6314,
-2.5942,
-2.5581,
-2.5248,
-2.4941,
-2.4549,
-2.4144,
-2.3786,
-2.3404,
-2.3042,
-2.2689,
-2.2341,
-2.1982,
-2.1567,
-2.1151,
-2.0796,
-2.0476,
-2.0142,
-1.9793,
-1.9419,
-1.9039,
-1.8668,
-1.8292,
-1.7932,
-1.7587,
-1.7232,
-1.6863,
-1.6489,
-1.6106,
-1.5734,
-1.5378,
-1.5015,
-1.4657,
-1.4307,
-1.3954,
-1.3607,
-1.3245,
-1.2872,
-1.2503,
-1.2127,
-1.1751,
-1.1382,
-1.1015,
-1.0652,
-1.0296,
-0.99369,
-0.95691,
-0.91958,
-0.88228,
-0.84503,
-0.80787,
-0.77062,
-0.73395,
-0.69841,
-0.6626,
-0.62593,
-0.58771,
-0.54905,
-0.51268,
-0.47782,
-0.44321,
-0.40839,
-0.3739,
-0.34022,
-0.30602,
-0.27036,
-0.23372,
-0.19699,
-0.16178,
-0.12713,
-0.091169,
-0.054409,
-0.016259,
0.022953,
0.060165,
0.095286,
0.13045,
0.16614,
0.20251,
0.23929,
0.27658,
0.31393,
0.35051,
0.3871,
0.42385,
0.46021,
0.4957,
0.53081,
0.56612,
0.60139,
0.63713,
0.67262,
0.70761,
0.74339,
0.78011,
0.81644,
0.85139,
0.88536,
0.92022,
0.95713,
0.99467,
1.031,
1.0669,
1.1038,
1.141,
1.1777,
1.2156,
1.2529,
1.2882,
1.3231,
1.3588,
1.3954,
1.4317,
1.4683,
1.5041,
1.5398,
1.5764,
1.613,
1.6498,
1.6856,
1.72,
1.7551,
1.7942,
1.8358,
1.876,
1.9138,
1.9489,
1.9841,
2.0211,
2.0577,
2.0933,
2.1308,
2.1696,
2.2052,
2.2392,
2.274,
2.3127,
2.3519,
2.3858,
2.422,
2.4592,
2.4949,
2.5329,
2.5667,
2.5994,
2.6378,
2.6754,
2.715,
2.754,
2.7881,
2.823,
2.8574,
2.8949,
2.9325,
2.9651,
2.9997,
3.0389,
3.077,
3.1156,
3.1551,
3.1908,
3.2202,
3.2509,
3.2884,
3.3354,
3.3744,
3.4027,
3.4383,
3.4777,
3.5174,
3.5589,
3.598,
3.6244,
3.6535,
3.6938,
3.7298,
3.7616,
3.7942,
3.84,
3.8838,
3.9134,
3.9463,
3.9824,
4.0185,
4.0546,
4.0934,
4.1348,
4.1763,
4.2135,
4.2465,
4.2819,
4.3197,
4.3574,
4.3952,
4.433,
4.4706,
4.508,
4.5454,
4.5829,
4.6203,
4.6578
